x_mm,r_mm,x_m,r_m
2.791041213015155,59.722781304493225,0.002791041213015155,0.059722781304493225
2.8420310844929073,59.71245401786045,0.0028420310844929075,0.059712454017860454
2.8929827466631366,59.70193983864364,0.0028929827466631364,0.059701939838643636
2.943895514513031,59.69123890819927,0.0029438955145130313,0.059691238908199266
2.9947687035526833,59.68035137039457,0.002994768703552683,0.05968035137039457
3.0456016298242847,59.66927737160558,0.003045601629824285,0.05966927737160558
3.0963936099113463,59.65801706071521,0.0030963936099113465,0.05965801706071521
3.147143960947882,59.6465705891112,0.003147143960947882,0.0596465705891112
3.1978520006275546,59.63493811068412,0.0031978520006275546,0.05963493811068412
3.2485170472129203,59.62311978182526,0.0032485170472129204,0.05962311978182526
3.2991384195445033,59.61111576142458,0.0032991384195445034,0.059611115761424575
3.3497154370500244,59.598926210868505,0.0033497154370500243,0.05959892621086851
3.400247419753519,59.58655129403785,0.0034002474197535187,0.059586551294037844
3.4507336882845103,59.57399117730551,0.00345073368828451,0.05957399117730551
3.5011735638870722,59.5612460295343,0.0035011735638870722,0.059561246029534304
3.5515663684290573,59.54831602207467,0.003551566368429057,0.05954831602207467
3.601911424411117,59.535201328762376,0.0036019114244111167,0.059535201328762374
3.6522080549758753,59.52190212591615,0.003652208054975875,0.05952190212591615
3.7024555839169917,59.50841859233536,0.0037024555839169915,0.05950841859233536
3.7526533356882776,59.494750909297565,0.0037526533356882774,0.05949475090929757
3.802800635412745,59.48089926055612,0.0038028006354127453,0.05948089926055612
3.8528968088917397,59.46686383233765,0.00385289680889174,0.05946686383233765
3.902941182613931,59.45264481333961,0.003902941182613931,0.05945264481333961
3.952933083764404,59.438242394727695,0.003952933083764404,0.0594382423947277
4.002871840233749,59.423656770133306,0.004002871840233749,0.0594236567701333
4.052756780626998,59.408888135650905,0.004052756780626998,0.05940888813565091
4.102587234272731,59.393936689835456,0.004102587234272731,0.059393936689835454
4.152362531232079,59.37880263369966,0.004152362531232079,0.05937880263369966
4.202082002307705,59.36348617071131,0.0042020820023077055,0.05936348617071131
4.251744979052799,59.34798750679057,0.004251744979052799,0.059347987506790566
4.30135079378012,59.33230685030713,0.00430135079378012,0.059332306850307125
4.350898779570899,59.316444412077495,0.0043508987795709,0.05931644441207749
4.4003882702838695,59.300400405362105,0.00440038827028387,0.0593004004053621
4.449818600564176,59.284175045862455,0.004449818600564176,0.059284175045862454
4.499189105852341,59.26776855171824,0.0044991891058523414,0.05926776855171824
4.54849912239319,59.25118114350436,0.00454849912239319,0.05925118114350436
4.597747987244799,59.23441304422802,0.004597747987244799,0.059234413044228024
4.646935038287364,59.2174644793257,0.004646935038287364,0.0592174644793257
4.696059614232154,59.20033567666012,0.004696059614232154,0.05920033567666012
4.745121054630374,59.18302686651715,0.004745121054630375,0.059183026866517156
4.794118699882027,59.165538281602814,0.004794118699882027,0.059165538281602814
4.843051891244815,59.147870157040046,0.004843051891244815,0.059147870157040046
4.89191997084297,59.130022730365575,0.00489191997084297,0.05913002273036558
4.940722281676136,59.11199624152676,0.004940722281676135,0.059111996241526764
4.9894581676281495,59.09379093287832,0.00498945816762815,0.05909379093287832
5.038126973475901,59.0754070491791,0.005038126973475901,0.0590754070491791
5.086728044898125,59.05684483758877,0.005086728044898126,0.059056844837588766
5.135260728484206,59.03810454766449,0.005135260728484206,0.05903810454766449
5.183724371742956,59.01918643135761,0.0051837243717429565,0.05901918643135761
5.232118323111407,59.000090743010205,0.0052321183231114066,0.05900009074301021
